award,date,amount
IODP Post Expedition Award,2018,"18,000"
NSF Graduate Research Fellowship,2014–2019,"138,000"
NSF GROW Fellowship,2016–2017,"41,000"
UMass Professional Development Grant,2018,443
NSF IGS Travel Scholarship,2018,970
UMass Campus Climate Improvement Grant,2018,"2,500"
PAGES Young Scientist Meeting Poster Prize,2017,100EUR
Geological Society of America Graduate Student Research Grant,2015,"1,875"
UMass Geosciences Hartshorn Award,"2014–2016, 2018","1,875"
Barry M. Goldwater Scholarship,2012,"7,500"
Lamont-Doherty Postdoctoral Fellowship,2020–2022,
